SMILES,Molecular Formula,MolWeight,logP,Hydrogen Acceptors,Hydrogen Donors,TopologicalPolarSurfaceArea,RingCount,Charge,Covalent_Unit_Count,Isotopic_Atom_Count,Total_Atom_Stereo_Count,Defined_Atom_Stereo_Count,Undefined_Atom_Stereo_Count,Total_Bond_Stereo_Count,Defined_Bond_Stereo_Count,Undefined_Bond_Stereo_Count,Can_Smi,IUPAC,Mol_Form,Compound_CID,Molecular_Formula,IUPAC_Name,Antioxidant,Anti-inflammatory,Toxic
C#N,,27.026,0.13978,1,0,23.79,0,0,1,0,0,0,0,0,0,0,,,,768,CHN,formonitrile,FALSE,FALSE,TRUE
C(#N)C(C(=O)N)(Br)Br,,241.87,0.48138,2,1,66.88,0,0,1,0,0,0,0,0,0,0,,,,25059,C3H2Br2N2O,"2,2-dibromo-2-cyanoacetamide",FALSE,FALSE,TRUE
C(#N)S,,59.093,0.39728,2,1,23.79,0,0,1,0,0,0,0,0,0,0,,,,781,CHNS,thiocyanic acid,FALSE,FALSE,TRUE
C(/C(=C/C(=O)O)/C(=O)O)C(=O)O,,174.108,-0.4433,3,3,111.9,0,0,1,0,0,0,0,1,1,0,,,,643757,C6H6O6,"(Z)-prop-1-ene-1,2,3-tricarboxylic acid",FALSE,FALSE,TRUE
C(/C=C/C(=O)O)C(=O)O,,130.099,0.1019,2,2,74.6,0,0,1,0,0,0,0,1,1,0,,,,5280498,C5H6O4,(E)-pent-2-enedioic acid,FALSE,FALSE,TRUE
C(=C(Cl)Cl)(Cl)Cl,,165.834,3.0682,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,31373,C2Cl4,"1,1,2,2-tetrachloroethene",FALSE,FALSE,TRUE
C(=C(Cl)Cl)Cl,,131.389,2.5017,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,6575,C2HCl3,"1,1,2-trichloroethene",FALSE,FALSE,TRUE
C(=C/C(=O)[O-])\C(=O)O.[Na+],,138.054,-4.6189,3,1,77.43,0,0,2,0,0,0,0,1,1,0,,,,6076814,C4H3NaO4,sodium;(E)-4-hydroxy-4-oxobut-2-enoate,FALSE,FALSE,TRUE
C(=C/C(=O)[O-])\C(=O)[O-].[Fe+2],,169.901,-2.9601,4,0,80.26,0,0,2,0,0,0,0,1,1,0,,,,6433164,C4H2FeO4,(E)-but-2-enedioate;iron(2+),FALSE,FALSE,TRUE
C(=C/C(=O)[O-])\C(=O)[O-].[Mg+2],,138.361,-3.3384,4,0,80.26,0,0,2,0,0,0,0,1,1,0,,,,6433510,C4H2MgO4,magnesium;(E)-but-2-enedioate,FALSE,FALSE,TRUE
C(=CC#N)C#N,C4H2N2,78.074,0.58976,2,0,47.58,0,0,1,0,0,0,0,0,0,0,,,,,,,TRUE,FALSE,FALSE
C(=N)(N)N,,59.072,-1.16143,1,3,75.89,0,0,1,0,0,0,0,0,0,0,,,,3520,CH5N3,guanidine,FALSE,FALSE,TRUE
C(=O)(N)/N=N/C(=O)N,,116.08,-0.404,2,2,110.9,0,0,1,0,0,0,0,1,1,0,,,,5462814,C2H4N4O2,(E)-carbamoyliminourea,FALSE,FALSE,TRUE
C(=O)(O)[O-].C(=O)([O-])[O-].[Na+].[Na+].[Na+],,189.994,-12.5473,5,1,123.55,0,0,5,0,0,0,0,0,0,0,,,,10791,C2HNa3O6,trisodium;hydrogen carbonate;carbonate,FALSE,FALSE,TRUE
C(=O)([O-])[O-].[Ca+2],,100.086,-2.8278,3,0,63.19,0,0,2,0,0,0,0,0,0,0,,,,10112,CCaO3,calcium;carbonate,FALSE,FALSE,TRUE
C(=O)([O-])[O-].[Fe+2],,115.853,-2.4495,3,0,63.19,0,0,2,0,0,0,0,0,0,0,,,,11248,CFeO3,iron(2+);carbonate,FALSE,FALSE,TRUE
C(=O)([O-])[O-].[Na+].[Na+],,105.988,-8.439,3,0,63.19,0,0,3,0,0,0,0,0,0,0,,,,10340,CNa2O3,disodium;carbonate,FALSE,FALSE,TRUE
C(=O)([O-])[O-].[Zn+2],,125.398,-2.4495,3,0,63.19,0,0,2,0,0,0,0,0,0,0,,,,19005,CO3Zn,zinc;carbonate,FALSE,FALSE,TRUE
C(=O)N,,45.041,-0.8985,1,1,43.09,0,0,1,0,0,0,0,0,0,0,,,,713,CH3NO,formamide,FALSE,FALSE,TRUE
C(=O)O,,46.025,-0.2992,1,1,37.3,0,0,1,0,0,0,0,0,0,0,,,,284,CH2O2,formic acid,FALSE,FALSE,TRUE
C(=O)[O-].[Na+],,68.007,-4.6299,2,0,40.13,0,0,2,0,0,0,0,0,0,0,,,,2723810,CHNaO2,sodium;formate,FALSE,FALSE,TRUE
C(=S)(N)N,,76.124,-0.8113,1,2,52.04,0,0,1,0,0,0,0,0,0,0,,,,2723790,CH4N2S,thiourea,FALSE,FALSE,TRUE
C(C#N)Br,C2H2BrN,119.949,0.90488,1,0,23.79,0,0,1,0,0,0,0,0,0,0,,,,,,,TRUE,FALSE,FALSE
C(C(=CC(=O)O)C(=O)O)C(=O)O,,174.108,-0.4433,3,3,111.9,0,0,1,0,0,0,0,0,0,0,,,,309,C6H6O6,"prop-1-ene-1,2,3-tricarboxylic acid",FALSE,FALSE,TRUE
C(C(=O)CO)O,,90.078,-1.4599,3,2,57.53,0,0,1,0,0,0,0,0,0,0,,,,670,C3H6O3,"1,3-dihydroxypropan-2-one",FALSE,FALSE,TRUE
C(C(=O)N)(Cl)Cl,C2H3Cl2NO,127.958,0.2754,1,1,43.09,0,0,1,0,0,0,0,0,0,0,,,,,,,TRUE,FALSE,FALSE
C(C(=O)O)C(=O)O,,104.061,-0.4543,2,2,74.6,0,0,1,0,0,0,0,0,0,0,,,,867,C3H4O4,propanedioic acid,FALSE,FALSE,TRUE
C(C(=O)O)C(CC(=O)O)(C(=O)O)O,,192.123,-1.2485,4,4,132.13,0,0,1,0,0,0,0,0,0,0,,,,311,C6H8O7,"2-hydroxypropane-1,2,3-tricarboxylic acid",TRUE,FALSE,TRUE
C(C(=O)O)C(CC(=O)O)(C(=O)O)O.C(C(=O)O)C(CC(=O)O)(C(=O)O)O.[Fe].[Fe].[Fe],,551.781,-2.5045,8,8,264.26,0,0,5,0,0,0,0,0,0,0,,,,129630337,C12H16Fe3O14,"2-hydroxypropane-1,2,3-tricarboxylic acid;iron",FALSE,FALSE,TRUE
C(C(=O)O)C(CC(=O)O)(C(=O)O)O.[Fe],,247.968,-1.251,4,4,132.13,0,0,2,0,0,0,0,0,0,0,,,,4989393,C6H8FeO7,"2-hydroxypropane-1,2,3-tricarboxylic acid;iron",FALSE,FALSE,TRUE
C(C(=O)O)P(=O)(O)O,,140.031,-0.7513,2,3,94.83,0,0,1,0,0,0,0,0,0,0,,,,546,C2H5O5P,2-phosphonoacetic acid,FALSE,FALSE,TRUE
C(C(=O)[O-])C(CC(=O)[O-])(C(=O)O)O.[NH4+].[NH4+],,226.185,-3.1655,6,4,210.79,0,0,3,0,0,0,0,0,0,0,,,,18171,C6H14N2O7,diazanium;3-carboxy-3-hydroxypentanedioate,FALSE,FALSE,TRUE
C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[Mg+2].[Mg+2].[Mg+2],,451.113,-11.6476,14,2,281.24,0,0,5,0,0,0,0,0,0,0,,,,6099959,C12H10Mg3O14,"trimagnesium;2-hydroxypropane-1,2,3-tricarboxylate",FALSE,FALSE,TRUE
C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[NH4+].[NH4+].[NH4+].[Fe+3],,488.16,-9.3791,14,5,390.74,0,0,6,0,0,0,0,0,0,0,,,,22445129,C12H22FeN3O14,"triazanium;2-hydroxypropane-1,2,3-tricarboxylate;iron(3+)",FALSE,FALSE,TRUE
C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.N.[Fe+3],,261.975,-5.0931,8,2,175.62,0,0,3,0,0,0,0,0,0,0,,,,14457,C6H8FeNO7,"azane;2-hydroxypropane-1,2,3-tricarboxylate;iron(3+)",FALSE,FALSE,TRUE
C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.O.O.[Na+].[Na+].[Na+],,294.099,-15.89,7,1,203.62,0,0,6,0,0,0,0,0,0,0,,,,71474,C6H9Na3O9,"trisodium;2-hydroxypropane-1,2,3-tricarboxylate;dihydrate",FALSE,FALSE,TRUE
C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.O.[Fe+3],,262.959,-6.0798,7,1,172.12,0,0,3,0,0,0,0,0,0,0,,,,22178220,C6H7FeO8,"2-hydroxypropane-1,2,3-tricarboxylate;iron(3+);hydrate",FALSE,FALSE,TRUE
C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[Fe+3],,244.944,-5.2551,7,1,140.62,0,0,2,0,0,0,0,0,0,0,,,,61300,C6H5FeO7,"2-hydroxypropane-1,2,3-tricarboxylate;iron(3+)",FALSE,FALSE,TRUE
C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[K+].[K+].[K+],,306.393,-14.2406,7,1,140.62,0,0,4,0,0,0,0,0,0,0,,,,13344,C6H5K3O7,"tripotassium;2-hydroxypropane-1,2,3-tricarboxylate",FALSE,FALSE,TRUE
C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[NH4+].[Fe+3],,262.983,-4.8789,7,2,177.12,0,1,3,0,0,0,0,0,0,0,,,,3080636,C6H9FeNO7+,"azanium;2-hydroxypropane-1,2,3-tricarboxylate;iron(3+)",FALSE,FALSE,TRUE
C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[Na+].[Na+].[Na+],,258.069,-14.2406,7,1,140.62,0,0,4,0,0,0,0,0,0,0,,,,6224,C6H5Na3O7,"trisodium;2-hydroxypropane-1,2,3-tricarboxylate",FALSE,FALSE,TRUE
C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])[O-].OP(=O)([O-])OP(=O)([O-])[O-].[Na+].[Fe+3].[Fe+3],,497.72,-11.5932,13,1,276.23,0,0,5,0,1,0,1,0,0,0,,,,90465822,C6H5Fe2NaO14P2,"sodium;[hydroxy(oxido)phosphoryl] phosphate;iron(3+);2-oxidopropane-1,2,3-tricarboxylate",FALSE,FALSE,TRUE
C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])[O-].[NH4+].[Fe+3],,261.975,-5.5109,7,1,179.95,0,0,3,0,0,0,0,0,0,0,,,,9838106,C6H8FeNO7,"azanium;iron(3+);2-oxidopropane-1,2,3-tricarboxylate",FALSE,FALSE,TRUE
C(C(C(=O)O)N)Cl.Cl,C3H7Cl2NO2,160,0.0589,2,2,63.32,0,0,2,0,1,0,1,0,0,0,,,,,,,TRUE,FALSE,FALSE
C(C(C(=O)O)O)(C(=O)O)O,,150.086,-2.1226,4,4,115.06,0,0,1,0,2,0,2,0,0,0,,,,875,C4H6O6,"2,3-dihydroxybutanedioic acid",FALSE,FALSE,TRUE
C(C(C(=O)O)O)(C(=O)O)O.N.N,,184.148,-1.7986,6,6,185.06,0,0,3,0,2,0,2,0,0,0,,,,13726008,C4H12N2O6,"azane;2,3-dihydroxybutanedioic acid",FALSE,FALSE,TRUE
C(C(C(=O)O)O)C(=O)O,,134.087,-1.0934,3,3,94.83,0,0,1,0,1,0,1,0,0,0,,,,525,C4H6O5,2-hydroxybutanedioic acid,FALSE,FALSE,TRUE
C(C(C(=O)O)O)O,,106.077,-1.5758,3,3,77.76,0,0,1,0,1,0,1,0,0,0,,,,752,C3H6O4,"2,3-dihydroxypropanoic acid",FALSE,FALSE,TRUE
C(C(C(=O)[O-])O)(C(=O)O)O.[K+],,188.176,-6.4533,5,3,117.89,0,0,2,0,2,0,2,0,0,0,,,,23666342,C4H5KO6,"potassium;2,3,4-trihydroxy-4-oxobutanoate",FALSE,FALSE,TRUE
C(C(C(=O)[O-])O)(C(=O)[O-])O.[Na+].[K+],,210.158,-10.784,6,2,120.72,0,0,3,0,2,0,2,0,0,0,,,,9855836,C4H4KNaO6,"potassium;sodium;2,3-dihydroxybutanedioate",FALSE,FALSE,TRUE
C(C(C(=O)[O-])O)C(=O)[O-].[Na+].[Na+],,178.051,-9.7548,5,1,100.49,0,0,3,0,1,0,1,0,0,0,,,,8736,C4H4Na2O5,disodium;2-hydroxybutanedioate,FALSE,FALSE,TRUE
C(C(C(C(=O)O)O)O)(C(C(=O)O)O)O,,210.138,-3.4008,6,6,155.52,0,0,1,0,4,0,4,0,0,0,,,,607,C6H10O8,"2,3,4,5-tetrahydroxyhexanedioic acid",FALSE,FALSE,TRUE
C(C(C(C(C(C(=O)[O-])O)O)O)O)O.C(C(C(C(C(C(=O)[O-])O)O)O)O)O.[Fe+2],,446.139,-9.6581,14,10,282.56,0,0,3,0,8,0,8,0,0,0,,,,13504666,C12H22FeO14,"iron(2+);2,3,4,5,6-pentahydroxyhexanoate",FALSE,FALSE,TRUE
C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,,338.038,4.6522,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,9639,C6F14,"1,1,1,2,2,3,3,4,4,5,5,6,6,6-tetradecafluorohexane",FALSE,FALSE,TRUE
C(C(C=O)O)O,,90.078,-1.4615,3,2,57.53,0,0,1,0,1,0,1,0,0,0,,,,751,C3H6O3,"2,3-dihydroxypropanal",FALSE,FALSE,TRUE
C(C(CCl)O)Cl,,128.986,0.8249,1,1,20.23,0,0,1,0,0,0,0,0,0,0,,,,7289,C3H6Cl2O,"1,3-dichloropropan-2-ol",FALSE,FALSE,TRUE
C(C(CO)O)O,,92.094,-1.6681,3,3,60.69,0,0,1,0,0,0,0,0,0,0,,,,753,C3H8O3,"propane-1,2,3-triol",FALSE,FALSE,TRUE
C(C(Cl)(Cl)Cl)O,,149.404,1.3489,1,1,20.23,0,0,1,0,0,0,0,0,0,0,,,,8259,C2H3Cl3O,"2,2,2-trichloroethanol",FALSE,FALSE,TRUE
C(C(F)(F)Cl)(F)(F)F,,154.465,2.3803,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,6430,C2ClF5,"1-chloro-1,1,2,2,2-pentafluoroethane",FALSE,FALSE,TRUE
C(C1C(C(C(C(O1)OC2(C(C(C(O2)CCl)O)O)CCl)O)O)Cl)O,,397.635,-1.6561,8,5,128.84,2,0,1,0,9,0,9,0,0,0,,,,5066234,C12H19Cl3O8,"2-[2,5-bis(chloromethyl)-3,4-dihydroxyoxolan-2-yl]oxy-5-chloro-6-(hydroxymethyl)oxane-3,4-diol",FALSE,FALSE,TRUE
C(C1C(C(C(C(O1)OCC(C(C(C(CO)O)O)O)O)O)O)O)O,,344.313,-5.7612,11,9,200.53,1,0,1,0,9,0,9,0,0,0,,,,4454759,C12H24O11,"6-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyhexane-1,2,3,4,5-pentol",FALSE,FALSE,TRUE
C(C1C2C(C(C(O1)OC3C(OC(C(C3O)O)OC4C(OC(C(C4O)O)OC5C(OC(C(C5O)O)OC6C(OC(C(C6O)O)OC7C(OC(C(C7O)O)OC8C(OC(O2)C(C8O)O)CO)CO)CO)CO)CO)CO)O)O)O,,1134.987,-15.2306,35,21,554.05,21,0,1,0,35,0,35,0,0,0,,,,320761,C42H70O35,"5,10,15,20,25,30,35-heptakis(hydroxymethyl)-2,4,7,9,12,14,17,19,22,24,27,29,32,34-tetradecaoxaoctacyclo[31.2.2.23,6.28,11.213,16.218,21.223,26.228,31]nonatetracontane-36,37,38,39,40,41,42,43,44,45,46,47,48,49-tetradecol",FALSE,FALSE,TRUE
C(C1[C@@H]2C([C@@H]([C@H](O1)O[C@@H]3C(O[C@@H]([C@H](C3O)O)O[C@@H]4C(O[C@@H]([C@H](C4O)O)O[C@@H]5C(O[C@@H]([C@H](C5O)O)O[C@@H]6C(O[C@@H]([C@H](C6O)O)O[C@@H]7C(O[C@@H]([C@H](C7O)O)O[C@@H]8C(O[C@H](O2)[C@H](C8O)O)CO)CO)CO)CO)CO)CO)O)O)O,,1134.987,-15.2306,35,21,554.05,21,0,1,0,35,21,14,0,0,0,,,,101136808,C42H70O35,"(1S,3R,6S,8R,11S,13R,16S,18R,21S,23R,26S,28R,31S,33R,37S,39S,41S,43S,45S,47S,49S)-5,10,15,20,25,30,35-heptakis(hydroxymethyl)-2,4,7,9,12,14,17,19,22,24,27,29,32,34-tetradecaoxaoctacyclo[31.2.2.23,6.28,11.213,16.218,21.223,26.228,31]nonatetracontane-36,37,38,39,40,41,42,43,44,45,46,47,48,49-tetradecol",FALSE,FALSE,TRUE
C(CC(=O)N)[C@@H](C(=O)O)N,,146.146,-1.3362,3,3,106.41,0,0,1,0,1,1,0,0,0,0,,,,5961,C5H10N2O3,"(2S)-2,5-diamino-5-oxopentanoic acid",FALSE,FALSE,TRUE
C(CC(=O)O)C(=O)O,,118.088,-0.0642,2,2,74.6,0,0,1,0,0,0,0,0,0,0,,,,1110,C4H6O4,butanedioic acid,FALSE,FALSE,TRUE
C(CC(=O)O)CC(=O)O,,132.115,0.3259,2,2,74.6,0,0,1,0,0,0,0,0,0,0,,,,743,C5H8O4,pentanedioic acid,FALSE,FALSE,TRUE
C(CC(=O)O)CNCCC(=O)O,,175.184,-0.0845,3,3,86.63,0,0,1,0,0,0,0,0,0,0,,,,2572,C7H13NO4,4-(2-carboxyethylamino)butanoic acid,FALSE,FALSE,TRUE
C(CC(=O)O)CO,,104.105,-0.1565,2,2,57.53,0,0,1,0,0,0,0,0,0,0,,,,10413,C4H8O3,4-hydroxybutanoic acid,FALSE,FALSE,TRUE
C(CC(=O)O)[C@@H](C(=O)O)N.N,,164.161,-0.5749,4,4,135.62,0,0,2,0,1,1,0,0,0,0,,,,24802175,C5H12N2O4,(2S)-2-aminopentanedioic acid;azane,FALSE,FALSE,TRUE
C(CC(=O)O)[C@@H](C(=O)[O-])N.O.[Na+],,187.127,-5.8923,4,2,134.95,0,0,3,0,1,1,0,0,0,0,,,,23666328,C5H10NNaO5,sodium;(2S)-2-amino-5-hydroxy-5-oxopentanoate;hydrate,FALSE,FALSE,TRUE
C(CC(=O)O)[C@@H](C(=O)[O-])N.[Na+],,169.112,-5.0676,4,2,103.45,0,0,2,0,1,1,0,0,0,0,,,,23672308,C5H8NNaO4,sodium;(2S)-2-amino-5-hydroxy-5-oxopentanoate,FALSE,FALSE,TRUE
C(CC(=O)[O-])C(=O)[O-].[Na+].[Na+],,162.052,-8.7256,4,0,80.26,0,0,3,0,0,0,0,0,0,0,,,,9020,C4H4Na2O4,disodium;butanedioate,FALSE,FALSE,TRUE
C(CC(=O)[O-])C[NH3+],,103.121,-2.2416,2,1,67.77,0,0,1,0,0,0,0,0,0,0,,,,6992099,C4H9NO2,4-azaniumylbutanoate,FALSE,FALSE,TRUE
C(CC(=O)[O-])[C@@H](C(=O)O)N.O.[K+],,203.235,-5.8923,4,2,134.95,0,0,3,0,1,1,0,0,0,0,,,,23695977,C5H10KNO5,potassium;(4S)-4-amino-5-hydroxy-5-oxopentanoate;hydrate,FALSE,FALSE,TRUE
C(CC(=O)[O-])[C@@H](C(=O)O)N.O.[Na+],,187.127,-5.8923,4,2,134.95,0,0,3,0,1,1,0,0,0,0,,,,23689119,C5H10NNaO5,sodium;(4S)-4-amino-5-hydroxy-5-oxopentanoate;hydrate,FALSE,FALSE,TRUE
C(CC(C(=O)O)N)CNC(=S)N,C6H13N3O2S,191.256,-0.9883,3,4,101.37,0,0,1,0,1,0,1,0,0,0,,,,,,,TRUE,FALSE,FALSE
C(CCC(=O)O)CC(CCS)S,,208.348,2.2497,3,3,37.3,0,0,1,0,1,0,1,0,0,0,,,,421,C8H16O2S2,"6,8-bis(sulfanyl)octanoic acid",TRUE,FALSE,TRUE
C(CCC(=O)[O-])CC(=O)[O-].[NH4+].[NH4+],,180.204,-1.201,4,2,153.26,0,0,3,0,0,0,0,0,0,0,,,,167786,C6H16N2O4,diazanium;hexanedioate,FALSE,FALSE,TRUE
C(CCCC(=O)O)CCCC(=O)O,,188.223,1.8863,2,2,74.6,0,0,1,0,0,0,0,0,0,0,,,,2266,C9H16O4,nonanedioic acid,FALSE,FALSE,TRUE
C(CCCCC(=O)O)CCCC(=O)O,,202.25,2.2764,2,2,74.6,0,0,1,0,0,0,0,0,0,0,,,,5192,C10H18O4,decanedioic acid,FALSE,FALSE,TRUE
C(CCCCS)CCCCS,,192.393,3.5767,2,2,0,0,0,1,0,0,0,0,0,0,0,,,,248488,C9H20S2,"nonane-1,9-dithiol",FALSE,FALSE,TRUE
C(CCN)CN,,88.154,-0.316,2,2,52.04,0,0,1,0,0,0,0,0,0,0,,,,1045,C4H12N2,"butane-1,4-diamine",FALSE,FALSE,TRUE
C(CCN)C[C@@H](C(=O)O)N.Cl,,182.651,-0.0509,3,3,89.34,0,0,2,0,1,1,0,0,0,0,,,,69568,C6H15ClN2O2,"(2S)-2,6-diaminohexanoic acid;hydrochloride",FALSE,FALSE,TRUE
C(CCS)CS,,122.258,1.6262,2,2,0,0,0,1,0,0,0,0,0,0,0,,,,79148,C4H10S2,"butane-1,4-dithiol",FALSE,FALSE,TRUE
C(CCl)Cl,,98.96,1.464,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,11,C2H4Cl2,"1,2-dichloroethane",FALSE,FALSE,TRUE
C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,,292.244,-2.0712,6,4,155.68,0,0,1,0,0,0,0,0,0,0,,,,6049,C10H16N2O8,2-[2-[bis(carboxymethyl)amino]ethyl-(carboxymethyl)amino]acetic acid,FALSE,FALSE,TRUE
C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O.[Na+].[Na+],,338.224,-8.0632,6,4,155.68,0,2,3,0,0,0,0,0,0,0,,,,9902403,C10H16N2Na2O8+2,disodium;2-[2-[bis(carboxymethyl)amino]ethyl-(carboxymethyl)amino]acetic acid,FALSE,FALSE,TRUE
C(CN(CC(=O)O)CC(=O)[O-])N(CC(=O)O)CC(=O)[O-].O.O.[Na+].[Na+],,372.238,-12.382,8,2,224.34,0,0,5,0,0,0,0,0,0,0,,,,636371,C10H18N2Na2O10,disodium;2-[2-[carboxylatomethyl(carboxymethyl)amino]ethyl-(carboxymethyl)amino]acetate;dihydrate,FALSE,FALSE,TRUE
C(CN(CC(=O)[O-])CC(=O)[O-])N(CC(=O)O)CC(=O)O.O.O.[Na+].[Na+],,372.238,-12.382,8,2,224.34,0,0,5,0,0,0,0,0,0,0,,,,44120005,C10H18N2Na2O10,disodium;2-[2-[bis(carboxymethyl)amino]ethyl-(carboxylatomethyl)amino]acetate;dihydrate,FALSE,FALSE,TRUE
C(CN(CC(=O)[O-])CC(=O)[O-])N(CC(=O)O)CC(=O)O.[Na+].[Na+],,336.208,-10.7326,8,2,161.34,0,0,3,0,0,0,0,0,0,0,,,,13020083,C10H14N2Na2O8,disodium;2-[2-[bis(carboxymethyl)amino]ethyl-(carboxylatomethyl)amino]acetate,FALSE,FALSE,TRUE
C(CN(CC(=O)[O-])CC(=O)[O-])N(CC(=O)[O-])CC(=O)[O-].O.O.O.[Na+].[Fe+3],,421.092,-12.8826,10,0,261.5,0,0,6,0,0,0,0,0,0,0,,,,71306809,C10H18FeN2NaO11,sodium;2-[2-[bis(carboxylatomethyl)amino]ethyl-(carboxylatomethyl)amino]acetate;iron(3+);trihydrate,FALSE,FALSE,TRUE
C(CN(CC(=O)[O-])CC(=O)[O-])N(CC(=O)[O-])CC(=O)[O-].[Na+].[Fe+3],,367.047,-10.4085,10,0,167,0,0,3,0,0,0,0,0,0,0,,,,27461,C10H12FeN2NaO8,sodium;2-[2-[bis(carboxylatomethyl)amino]ethyl-(carboxylatomethyl)amino]acetate;iron(3+),FALSE,FALSE,TRUE
C(CN(CC(=O)[O-])CC(=O)[O-])N(CC(=O)[O-])CC(=O)[O-].[Na+].[Na+].[Na+].[Na+],,380.172,-19.394,10,0,167,0,0,5,0,0,0,0,0,0,0,,,,6144,C10H12N2Na4O8,tetrasodium;2-[2-[bis(carboxylatomethyl)amino]ethyl-(carboxylatomethyl)amino]acetate,FALSE,FALSE,TRUE
C(CN)C(=O)O,,89.094,-0.5802,2,2,63.32,0,0,1,0,0,0,0,0,0,0,,,,239,C3H7NO2,3-aminopropanoic acid,FALSE,FALSE,TRUE
